Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[0, 5, 52, 127, 271, 278, 308, 347, 414, 457, 487, 491, 503, 553, 692]",3.8611,GA with SVR,15,0.1817,0.2227,0.1903,1.5652,1.3373,0.3662
"[61, 76, 157, 222, 250, 252, 348, 378, 424, 490, 513, 566, 697, 703, 871]",3.7469,GA with SVR,15,0.3117,0.289,0.2412,1.5152,1.1406,0.5634
"[144, 179, 245, 250, 328, 386, 411, 480, 521, 524, 528, 545, 555, 691, 702, 908]",4.1184,GA with SVR,16,0.1868,0.0912,0.1271,1.6251,1.2137,0.5352
"[33, 38, 80, 100, 119, 126, 145, 219, 305, 333, 360, 371, 431, 434, 464, 520, 550, 693]",4.5304,GA with SVR,18,0.1976,0.1041,0.1061,1.6446,1.2142,0.5352
"[54, 60, 117, 121, 185, 188, 216, 235, 314, 391, 426, 437, 451, 455, 561, 908]",3.7939,GA with SVR,16,0.4393,0.446,0.3484,1.4041,1.1069,0.5352
"[36, 38, 63, 120, 122, 241, 326, 329, 361, 399, 417, 422, 447, 456, 477, 478, 512, 521, 535, 651]",4.9597,GA with SVR,20,0.1893,0.1078,0.1382,1.6148,1.2999,0.4648
"[154, 210, 287, 306, 323, 327, 397, 441, 458, 488, 489, 556, 908]",3.4389,GA with SVR,13,0.2079,0.1803,0.1481,1.6055,1.2998,0.493
"[4, 47, 68, 77, 89, 115, 220, 253, 256, 282, 329, 341, 390, 421, 696, 702]",3.8928,GA with SVR,16,0.3849,0.3164,0.3478,1.4048,1.0318,0.6338
"[38, 64, 68, 83, 101, 112, 121, 124, 128, 213, 224, 231, 263, 287, 334, 403, 410, 417, 444, 462, 484, 492, 501]",5.596,GA with SVR,23,0.1287,0.2179,0.1448,1.6086,1.3194,0.4789
"[17, 113, 182, 236, 324, 327, 381, 416, 463, 497, 498, 510, 547, 554]",3.6689,GA with SVR,14,0.1648,0.2029,0.1322,1.6204,1.2869,0.507
"[154, 181, 203, 287, 446, 458, 461, 465, 473, 500, 571]",3.004,GA with SVR,11,0.2666,0.1168,0.0727,1.675,1.3647,0.4085
"[67, 90, 176, 205, 232, 246, 320, 321, 516, 539, 869]",2.9702,GA with SVR,11,0.2616,0.2174,0.2511,1.5053,1.22,0.4507
"[51, 211, 226, 269, 307, 449, 477, 483, 497, 563, 567]",3.0202,GA with SVR,11,0.2192,0.1568,0.1935,1.5621,1.2589,0.4648
"[15, 71, 120, 158, 226, 254, 372, 377, 399, 433, 523, 865, 908]",3.3954,GA with SVR,13,0.2658,0.1944,0.2735,1.4826,1.1471,0.507
"[198, 226, 227, 246, 329, 348, 417, 434, 526, 547, 555, 615, 678]",3.4263,GA with SVR,13,0.2291,0.177,0.265,1.4913,1.144,0.5493
"[2, 47, 91, 112, 122, 275, 462, 681, 696, 703, 928, 929]",3.2115,GA with SVR,12,0.1968,0.2472,0.2084,1.5477,1.2759,0.4366
"[45, 61, 159, 192, 194, 212, 218, 278, 290, 300, 308, 313, 325, 370, 387, 428, 468, 537, 566, 568]",4.8746,GA with SVR,20,0.1902,0.3177,0.1693,1.5854,1.2753,0.4366
"[49, 91, 152, 179, 182, 210, 235, 252, 313, 421, 451, 482, 496, 507, 941]",3.8488,GA with SVR,15,0.2028,0.2187,0.2197,1.5365,1.2551,0.507
"[3, 42, 54, 129, 151, 182, 357, 360, 426, 455, 479, 494, 573, 839]",3.701,GA with SVR,14,0.1549,0.1326,0.1507,1.603,1.242,0.4085
"[17, 36, 49, 85, 110, 118, 216, 219, 292, 352, 390, 419, 461, 528, 573, 676, 880]",4.1263,GA with SVR,17,0.3366,0.3449,0.2898,1.4659,1.1484,0.493
"[16, 43, 59, 76, 87, 121, 134, 166, 173, 275, 296, 297, 315, 319, 338, 353, 381, 393, 400, 425, 448, 449, 455, 464, 693]",6.1527,GA with SVR,25,0.0475,0.0331,0.0541,1.6918,1.4299,0.4085
"[42, 57, 108, 167, 205, 263, 381, 470, 472, 541, 554, 556]",3.2665,GA with SVR,12,0.1284,0.2174,0.144,1.6093,1.3218,0.4648
"[48, 53, 147, 167, 353, 373, 555, 869, 870]",2.5123,GA with SVR,9,0.2615,0.3244,0.2071,1.5489,1.1801,0.507
"[43, 50, 68, 136, 309, 337, 433, 567, 698, 699]",2.7427,GA with SVR,10,0.277,0.2386,0.3206,1.4337,1.05,0.5775
