Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[58, 140, 173, 231, 289, 299, 399, 408, 447, 464, 471]",3.1542,GA with ANN,11,0.0478,0.064,0.0187,1.7278,1.4807,0.3803
"[56, 87, 105, 124, 134, 140, 163, 247, 248, 384, 404, 424, 446, 450, 568, 631, 908]",4.4221,GA with ANN,17,0.0477,0.066,0.0234,1.7237,1.4602,0.3944
"[58, 86, 138, 166, 188, 219, 331, 485, 501, 522, 549, 939, 941]",3.5794,GA with ANN,13,0.0476,0.0535,0.0358,1.7127,1.4617,0.3803
"[86, 140, 154, 222, 360, 529]",1.8057,GA with ANN,6,0.0473,0.0632,0.0197,1.7269,1.4774,0.3803
"[140, 189, 244, 315, 366, 402, 427, 495, 615]",2.7339,GA with ANN,9,0.0472,0.0648,0.014,1.732,1.4901,0.3803
"[63, 80, 140, 157, 163, 180, 191, 197, 216, 352, 363, 399, 561, 907]",3.7876,GA with ANN,14,0.047,0.0635,0.0202,1.7265,1.4787,0.3803
"[137, 140, 210, 364, 461, 486, 502, 564, 693]",2.7335,GA with ANN,9,0.0469,0.0663,0.0147,1.7313,1.481,0.3803
"[36, 53, 128, 140, 154, 156, 243, 338, 491, 509, 528]",3.1553,GA with ANN,11,0.0469,0.0622,0.0129,1.733,1.4927,0.3803
"[64, 115, 139, 200, 240, 253, 331, 379, 446, 450, 537, 540, 550, 696]",3.7955,GA with ANN,14,0.0468,0.0411,0.0156,1.7305,1.4783,0.3662
"[51, 113, 121, 134, 138, 218, 225, 231, 241, 271, 324, 331, 355, 459, 461, 471, 472, 565, 676, 928, 937]",5.2819,GA with ANN,21,0.0466,0.0502,0.0316,1.7164,1.4658,0.3803
"[77, 78, 140, 163, 183, 443, 517, 570, 695, 938]",2.9443,GA with ANN,10,0.0465,0.0647,0.0083,1.737,1.5054,0.338
"[42, 126, 140, 143, 192, 211, 306, 354, 361, 383, 500, 504, 505, 514, 518, 570, 678]",4.4244,GA with ANN,17,0.0464,0.0617,0.0143,1.7317,1.4905,0.3803
"[59, 62, 123, 140, 154, 198, 213, 313, 351, 389, 395, 398, 442, 456, 477, 492, 496, 507, 526]",4.8495,GA with ANN,19,0.0462,0.0638,0.0182,1.7283,1.4835,0.3803
"[51, 140, 152, 201, 234, 237, 289, 332, 342, 345, 349, 350, 357, 393, 433, 467, 487, 515, 941]",4.8501,GA with ANN,19,0.0461,0.0625,0.0232,1.7238,1.4744,0.3803
"[102, 140, 143, 183, 224, 306, 388, 396, 438, 468, 521, 821]",3.367,GA with ANN,12,0.0461,0.0602,0.0219,1.725,1.478,0.3803
"[35, 41, 58, 90, 122, 140, 148, 206, 225, 251, 280, 313, 502, 559, 568]",4.0006,GA with ANN,15,0.046,0.061,0.0144,1.7316,1.4896,0.3803
"[99, 100, 140, 195, 334, 367, 412, 413, 414, 422, 431, 465, 469, 504]",3.7887,GA with ANN,14,0.0459,0.0621,0.0146,1.7314,1.4877,0.3944
"[138, 207, 217, 238, 287, 350, 434, 472, 484, 486, 489, 525, 551, 692]",3.7927,GA with ANN,14,0.0458,0.0508,0.0285,1.7192,1.456,0.3944
"[57, 128, 138, 163, 167, 203, 213, 411, 500, 510, 533, 569, 678, 821, 871, 930, 940]",4.4274,GA with ANN,17,0.0458,0.0543,0.0287,1.719,1.4608,0.3803
"[51, 70, 80, 140, 158, 164, 173, 306, 340, 424, 440, 485, 549, 677, 694]",3.9991,GA with ANN,15,0.0457,0.066,0.0203,1.7264,1.4564,0.3944
"[40, 113, 140, 192, 210, 293, 397, 402, 405, 421, 460, 474, 486, 651, 696, 864, 870, 941]",4.6351,GA with ANN,18,0.0457,0.0681,0.0149,1.7312,1.4963,0.3521
"[140, 340, 353, 365, 419, 420, 429, 442, 450, 466, 545, 568, 569, 937]",3.7903,GA with ANN,14,0.0456,0.0581,0.0208,1.726,1.4805,0.3662
"[4, 94, 140, 169, 180, 209, 278, 298, 330, 361, 451, 452, 463, 496, 501, 541, 544, 564, 615, 651]",5.065,GA with ANN,20,0.0456,0.0594,0.0106,1.735,1.4972,0.338
"[17, 34, 98, 118, 140, 193, 350, 360, 427, 444]",2.9461,GA with ANN,10,0.0456,0.0611,0.006,1.7389,1.505,0.3239
"[46, 55, 138, 139, 161, 166, 180, 198, 371, 545, 549, 676]",3.3723,GA with ANN,12,0.0455,0.0458,0.016,1.7302,1.4563,0.3944
"[72, 79, 118, 140, 175, 211, 269, 316, 350, 362, 374, 407, 426, 442, 470]",4.0014,GA with ANN,15,0.0455,0.0596,0.0076,1.7376,1.5018,0.338
"[104, 140, 142, 204, 212, 280, 291, 311, 364, 412, 476, 536, 678]",3.5789,GA with ANN,13,0.0452,0.0591,0.0149,1.7312,1.4866,0.3944
"[102, 109, 140, 158, 202, 208, 280, 288, 290, 305, 369, 459, 503, 512, 519, 520, 566, 702, 819]",4.8507,GA with ANN,19,0.0452,0.0622,0.015,1.7311,1.4824,0.3803
"[43, 59, 140, 147, 197, 236, 290, 315, 336, 408, 418, 447, 839]",3.5772,GA with ANN,13,0.045,0.0646,0.0173,1.729,1.4651,0.3944
"[41, 140, 249, 286, 340, 446, 472, 866]",2.5274,GA with ANN,8,0.0449,0.0588,0.0116,1.734,1.4925,0.3662
"[42, 50, 58, 103, 138, 182, 228, 271, 344, 386, 489, 560, 566, 872, 908]",4.004,GA with ANN,15,0.0447,0.0537,0.0216,1.7252,1.4764,0.3662
"[5, 46, 76, 96, 118, 140, 151, 186, 283, 307, 320, 443, 483, 543]",3.7905,GA with ANN,14,0.0446,0.0592,0.0213,1.7256,1.4761,0.3803
"[140, 224, 301, 344, 363, 403, 431, 482, 494, 534, 563]",3.1576,GA with ANN,11,0.0446,0.0594,0.0184,1.7281,1.4792,0.3803
"[74, 140, 145, 161, 204, 316, 382, 564, 567]",2.7375,GA with ANN,9,0.0444,0.0589,0.0172,1.7292,1.4819,0.3803
"[50, 114, 139, 203, 240, 302, 540, 690]",2.5351,GA with ANN,8,0.0444,0.0359,0.0065,1.7385,1.4885,0.3662
"[97, 109, 140, 174, 281, 298, 366, 447, 514]",2.7371,GA with ANN,9,0.0443,0.0601,0.0139,1.732,1.489,0.3803
"[17, 89, 107, 108, 110, 139, 184, 245, 479, 486, 492, 497, 539, 678, 696, 937]",4.2205,GA with ANN,16,0.0443,0.0416,0.0219,1.725,1.4666,0.3662
"[60, 119, 123, 139, 140, 159, 205, 235, 330, 359, 371, 438, 473, 502, 550, 648, 698, 868]",4.6442,GA with ANN,18,0.0443,0.0456,-0.0115,1.7542,1.5176,0.3239
"[60, 140, 183, 238, 244, 296, 318, 326, 420, 937]",2.9474,GA with ANN,10,0.0441,0.0596,0.0174,1.7289,1.4822,0.3803
"[41, 45, 75, 80, 120, 140, 141, 284, 344, 348, 420, 434, 451, 479, 483, 648, 870]",4.4273,GA with ANN,17,0.044,0.0575,0.0191,1.7275,1.4793,0.3803
"[58, 134, 140, 167, 186, 215, 236, 373, 433, 455, 474, 493, 507, 533, 536, 866]",4.2127,GA with ANN,16,0.0439,0.0642,0.0185,1.728,1.4796,0.3803
"[41, 46, 52, 72, 75, 140, 168, 308, 333, 345, 400, 446]",3.3666,GA with ANN,12,0.0437,0.0657,0.0186,1.7279,1.4581,0.4085
"[68, 83, 136, 140, 175, 225, 243, 256, 288, 298, 322, 359, 374, 569, 571]",3.9983,GA with ANN,15,0.0435,0.0719,0.0132,1.7327,1.4615,0.3662
