Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[42, 70, 305, 310, 318, 322, 332, 347, 418, 435, 510, 552, 680, 939]",3.3392,GA with SVR,14,0.502,0.4172,0.3866,1.3623,1.0407,0.5634
"[150, 162, 241, 302, 320, 379, 412, 426, 432, 435, 481, 531, 532, 544, 928]",3.5236,GA with SVR,15,0.5018,0.4696,0.4202,1.3245,1.073,0.493
"[43, 148, 155, 189, 320, 388, 424, 526, 560, 676]",2.5139,GA with SVR,10,0.5017,0.4006,0.3946,1.3534,1.0709,0.5352
"[42, 48, 86, 101, 132, 230, 255, 315, 318, 348, 349, 358, 425, 432, 493, 530, 552, 573, 574, 693, 702]",4.779,GA with SVR,21,0.5017,0.4731,0.3854,1.3637,1.0622,0.5352
"[38, 96, 135, 175, 218, 276, 341, 524, 536, 677, 695, 700, 872]",3.1095,GA with SVR,13,0.5016,0.4639,0.551,1.1655,0.9237,0.6197
"[65, 144, 159, 168, 178, 285, 461]",1.8434,GA with SVR,7,0.5014,0.5114,0.3696,1.3811,1.0498,0.5634
"[17, 94, 98, 236, 320, 389, 393, 410, 417, 430, 508, 547, 549, 574, 676]",3.5251,GA with SVR,15,0.5014,0.4671,0.3931,1.3551,1.0695,0.5352
"[4, 68, 145, 201, 235, 255, 411, 435, 464, 480, 508, 700, 852, 864, 868]",3.5462,GA with SVR,15,0.5012,0.4226,0.4586,1.2799,0.9873,0.6056
"[48, 95, 228, 314, 317, 320, 346, 349, 435, 476, 481, 495, 518, 649, 694]",3.538,GA with SVR,15,0.5008,0.4408,0.4579,1.2807,0.9996,0.6197
"[220, 296, 348, 368, 370, 398, 428, 533, 649, 651, 676, 700, 819, 821, 864, 872]",3.7631,GA with SVR,16,0.5008,0.4065,0.4979,1.2326,0.9797,0.5915
"[54, 142, 172, 177, 194, 247, 345, 346, 371, 396, 424, 432, 558, 694, 702, 864, 872]",3.9624,GA with SVR,17,0.5007,0.428,0.4747,1.2607,0.9985,0.5915
