Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Abs. Errors
[39_ 132_ 140_ 183_ 363_ 411_ 484_ 908],1.6468,DE with ANN,8,0.1673,0.0932,0.1403,1.6128,1.3128,0.4507
[39_ 74_ 76_ 123_ 140_ 170_ 304_ 435_ 534],1.6754,DE with ANN,9,0.1668,0.0379,0.0831,1.6656,1.3423,0.4507
[35_ 39_ 49_ 118_ 128_ 148_ 166_ 276_ 341_ 395_ 572],1.6702,DE with ANN,11,0.1667,0.1104,0.1394,1.6137,1.3155,0.4366
[39_ 102_ 138_ 154_ 205_ 372_ 408_ 536_ 677_ 696],1.6679,DE with ANN,10,0.1665,0.089,0.1539,1.6,1.315,0.4366
[20_ 39_ 108_ 140_ 392_ 414_ 432_ 556],1.6462,DE with ANN,8,0.1663,0.097,0.1415,1.6117,1.3119,0.4507
[39_ 283_ 381_ 868_ 869],1.6149,DE with ANN,5,0.1656,0.1117,0.2096,1.5464,1.2717,0.4507
[39_ 108_ 111_ 325_ 421_ 443_ 941],1.6339,DE with ANN,7,0.1638,0.1109,0.1656,1.5889,1.3054,0.4507
[39_ 140_ 179_ 205_ 430_ 461_ 483],1.6451,DE with ANN,7,0.1634,0.0782,0.1369,1.616,1.31,0.4507
[39_ 49_ 225_ 325_ 389_ 401_ 410_ 479],1.6476,DE with ANN,8,0.1632,0.0983,0.1612,1.5931,1.3039,0.4366
[39_ 75_ 106_ 108_ 140_ 246_ 254_ 312_ 343_ 392_ 414_ 421_ 458_ 556_ 562],1.7271,DE with ANN,15,0.1631,0.077,0.1173,1.6342,1.3333,0.4648
[38_ 39_ 108_ 261_ 295_ 399_ 421_ 443_ 941],1.6553,DE with ANN,9,0.163,0.1038,0.177,1.5781,1.2934,0.4366
[31_ 39_ 140_ 192_ 211_ 254_ 302_ 366_ 378_ 411_ 422_ 564],1.7063,DE with ANN,12,0.1628,0.0437,0.089,1.6603,1.3512,0.4789
[39_ 117_ 278_ 381_ 384_ 542_ 871],1.6394,DE with ANN,7,0.1628,0.0965,0.2043,1.5516,1.267,0.4648
[31_ 39_ 140_ 211_ 283_ 366_ 411_ 422_ 511_ 564],1.6675,DE with ANN,10,0.1621,0.098,0.1341,1.6186,1.3235,0.4789
[39_ 69_ 100_ 134_ 190],1.6328,DE with ANN,5,0.1614,0.065,0.155,1.599,1.3131,0.4366
[39_ 82_ 140_ 304_ 344_ 352_ 514_ 532_ 680],1.6608,DE with ANN,9,0.1611,0.0912,0.1286,1.6237,1.3294,0.4507
[0_ 39_ 99_ 122_ 129_ 140_ 368_ 371_ 694],1.674,DE with ANN,9,0.1609,0.0527,0.1378,1.6152,1.3186,0.4366
[39_ 73_ 132_ 140_ 151_ 162_ 198_ 249_ 422_ 492_ 700],1.6921,DE with ANN,11,0.1606,0.0586,0.116,1.6355,1.3294,0.4789
[39_ 181_ 235_ 309_ 343_ 345_ 416_ 443_ 513],1.6633,DE with ANN,9,0.1604,0.0852,0.1824,1.5729,1.289,0.4225
[39_ 137_ 140_ 163_ 214_ 254_ 281_ 283_ 294_ 343_ 351_ 462_ 548],1.7071,DE with ANN,13,0.1599,0.077,0.1042,1.6464,1.3405,0.4789
[39_ 43_ 140_ 430_ 483],1.6311,DE with ANN,5,0.1597,0.0735,0.1146,1.6368,1.3251,0.4789
