Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[34, 61, 84, 95, 124, 138, 149, 160, 162, 167, 192, 198, 199, 203, 212, 215, 234, 235, 244, 322, 386, 423, 425, 428, 473, 475, 500, 501, 516, 520, 558, 826]",7.0195,GA with MLR,32,0.6506,0.4126,0.6038,1.0948,0.8889,0.6338
"[6, 85, 106, 141, 163, 208, 224, 231, 267, 286, 291, 295, 340, 412, 430, 479, 483, 485, 492, 522, 540, 565, 631, 690, 839, 907, 908, 928]",6.1545,GA with MLR,28,0.6506,0.4258,0.5829,1.1234,0.9002,0.6338
"[35, 53, 59, 68, 87, 88, 92, 99, 166, 168, 170, 177, 186, 209, 211, 212, 347, 364, 406, 442, 467, 473, 487, 500, 520, 525, 546, 648, 676, 839]",6.5913,GA with MLR,30,0.6504,0.4106,0.5371,1.1835,0.9444,0.5915
"[0, 35, 38, 48, 60, 137, 142, 173, 245, 249, 263, 270, 294, 338, 352, 361, 365, 368, 381, 390, 412, 420, 430, 443, 461, 482, 484, 651, 681, 696, 821, 937]",7.0792,GA with MLR,32,0.6502,0.3177,0.3884,1.3604,1.0417,0.6197
"[5, 16, 36, 79, 80, 88, 93, 128, 178, 183, 203, 208, 214, 220, 255, 313, 369, 385, 386, 396, 400, 408, 453, 506, 512, 537, 676, 697, 702]",6.2941,GA with MLR,29,0.6502,0.543,0.4588,1.2797,0.9975,0.5775
"[1, 15, 38, 40, 44, 49, 53, 59, 76, 122, 133, 168, 217, 270, 324, 368, 381, 394, 443, 445, 449, 485, 488, 492, 498, 516, 518, 544, 676, 907]",6.572,GA with MLR,30,0.6502,0.4418,0.4054,1.3413,1.0798,0.507
"[65, 111, 114, 120, 123, 134, 172, 190, 192, 207, 231, 237, 260, 306, 353, 379, 427, 454, 455, 511, 522, 552, 691, 694, 816, 821]",5.7518,GA with MLR,26,0.6501,0.3882,0.3306,1.4232,1.0059,0.6197
"[2, 42, 52, 55, 62, 64, 79, 127, 176, 177, 178, 198, 213, 227, 231, 236, 250, 322, 329, 363, 377, 433, 482, 487, 502, 504, 506, 528]",6.2318,GA with MLR,28,0.65,0.2957,0.373,1.3773,1.1006,0.5352
"[99, 178, 196, 218, 227, 295, 299, 329, 333, 353, 374, 404, 434, 504, 543, 547, 549, 691, 693, 940]",4.5648,GA with MLR,20,0.6498,0.2346,0.445,1.2958,1.0071,0.6056
"[49, 82, 84, 120, 124, 156, 175, 212, 249, 296, 312, 318, 333, 376, 390, 410, 419, 421, 426, 443, 466, 467, 481, 490, 516, 537, 539, 615, 631, 693, 826]",6.9091,GA with MLR,31,0.6498,0.2414,0.3963,1.3515,1.0835,0.507
"[6, 32, 33, 43, 47, 53, 58, 88, 140, 173, 174, 228, 319, 329, 358, 362, 373, 402, 405, 471, 497, 502, 505, 539, 561, 572, 648, 677, 690, 691, 698, 906]",6.9403,GA with MLR,32,0.6497,0.5344,0.506,1.2226,0.9238,0.6056
"[54, 63, 76, 84, 87, 118, 150, 164, 177, 179, 185, 207, 208, 223, 230, 245, 279, 316, 320, 325, 334, 341, 343, 352, 358, 482, 510, 523, 526, 565, 819, 826]",6.9727,GA with MLR,32,0.6494,0.4864,0.6014,1.0983,0.8945,0.6197
"[38, 52, 54, 64, 71, 91, 94, 132, 171, 177, 215, 216, 244, 282, 286, 298, 315, 320, 330, 374, 395, 426, 431, 476, 498, 534, 561]",5.9521,GA with MLR,27,0.6494,0.4102,0.4309,1.3122,1.0567,0.5775
"[0, 43, 45, 53, 60, 61, 78, 104, 109, 158, 160, 166, 210, 211, 213, 243, 270, 279, 360, 400, 408, 411, 455, 468, 517, 560, 568, 676, 871]",6.3757,GA with MLR,29,0.6494,0.4147,0.4402,1.3015,1.0334,0.5634
